date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000007,3.6600,3.7300,3.6200,3.6400,2225800,8133204.0000,3
2023-06-07,20230607133000000,sz.000007,3.7000,3.7900,3.7000,3.7600,888800,3327870.0000,3
2023-06-08,20230608100000000,sz.000007,3.7400,3.7700,3.7200,3.7600,812385,3048464.0000,3
2023-06-08,20230608133000000,sz.000007,3.8400,3.8400,3.8100,3.8400,113400,434010.0000,3
2023-06-09,20230609100000000,sz.000007,3.8500,3.8900,3.8200,3.8300,410700,1582950.0000,3
2023-06-09,20230609133000000,sz.000007,3.8000,3.8200,3.7700,3.7800,199500,756382.0000,3
2023-06-12,20230612100000000,sz.000007,3.7900,3.8100,3.6900,3.7000,606800,2287058.0000,3
2023-06-12,20230612133000000,sz.000007,3.6800,3.7100,3.6700,3.6900,238000,875763.0000,3
2023-06-13,20230613100000000,sz.000007,3.7600,3.7900,3.7000,3.7100,286100,1067072.0000,3
2023-06-13,20230613133000000,sz.000007,3.7400,3.7500,3.7200,3.7300,131300,490053.0000,3
2023-06-14,20230614100000000,sz.000007,3.7400,3.7400,3.6900,3.7300,382300,1419394.0000,3
2023-06-14,20230614133000000,sz.000007,3.7300,3.7400,3.7200,3.7300,94600,352956.0000,3
2023-06-15,20230615100000000,sz.000007,3.7700,3.7700,3.7300,3.7500,417500,1565103.0000,3
2023-06-15,20230615133000000,sz.000007,3.7500,3.8100,3.7500,3.8100,273100,1031425.0000,3
2023-06-16,20230616100000000,sz.000007,3.7300,3.8100,3.7300,3.8000,835700,3163497.0000,3
2023-06-16,20230616133000000,sz.000007,3.8000,3.8000,3.7900,3.7900,99200,376211.0000,3
2023-06-19,20230619100000000,sz.000007,3.7300,3.7600,3.7000,3.7100,765301,2851298.0000,3
2023-06-19,20230619133000000,sz.000007,3.6800,3.6900,3.6800,3.6800,170100,626445.0000,3
2023-06-20,20230620100000000,sz.000007,3.7100,3.7100,3.6000,3.6200,472215,1714124.0000,3
2023-06-20,20230620133000000,sz.000007,3.5300,3.5300,3.5200,3.5200,1624000,5717270.0000,3
2023-06-21,20230621100000000,sz.000007,3.5200,3.6200,3.4800,3.5700,1670450,5943148.0000,3
2023-06-21,20230621133000000,sz.000007,3.5900,3.5900,3.5400,3.5400,351300,1248996.0000,3
2023-06-26,20230626100000000,sz.000007,3.4800,3.6800,3.4100,3.6300,2336700,8446656.0000,3
2023-06-26,20230626133000000,sz.000007,3.6600,3.6700,3.6500,3.6600,269150,984827.0000,3
2023-06-27,20230627100000000,sz.000007,3.7000,3.8700,3.7000,3.8700,3780800,14535447.0000,3
2023-06-27,20230627133000000,sz.000007,3.8700,3.8700,3.8700,3.8700,12800,49536.0000,3
