date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000005,1.1700,1.1700,1.1700,1.1700,722722,845584.0000,3
2023-06-07,20230607133000000,sz.000005,1.1700,1.1700,1.1700,1.1700,43500,50895.0000,3
2023-06-08,20230608100000000,sz.000005,1.2300,1.2300,1.1500,1.1900,33111593,39963067.0000,3
2023-06-08,20230608133000000,sz.000005,1.1900,1.2100,1.1800,1.2100,2581963,3080071.0000,3
2023-06-09,20230609100000000,sz.000005,1.1800,1.2100,1.1600,1.1800,11030493,13034352.0000,3
2023-06-09,20230609133000000,sz.000005,1.1600,1.1700,1.1600,1.1700,1055663,1230667.0000,3
2023-06-12,20230612100000000,sz.000005,1.1100,1.1400,1.0900,1.1300,7486700,8336003.0000,3
2023-06-12,20230612133000000,sz.000005,1.1500,1.1700,1.1400,1.1700,750900,867658.0000,3
2023-06-13,20230613100000000,sz.000005,1.1600,1.1800,1.1500,1.1600,4787111,5588560.0000,3
2023-06-13,20230613133000000,sz.000005,1.1600,1.1700,1.1500,1.1600,731900,849093.0000,3
2023-06-14,20230614100000000,sz.000005,1.1300,1.1600,1.1300,1.1600,4215912,4840230.0000,3
2023-06-14,20230614133000000,sz.000005,1.1900,1.1900,1.1900,1.1900,207616,247063.0000,3
2023-06-15,20230615100000000,sz.000005,1.1700,1.1900,1.1500,1.1800,8539287,9950559.0000,3
2023-06-15,20230615133000000,sz.000005,1.1800,1.2000,1.1800,1.2000,1369656,1628765.0000,3
2023-06-16,20230616100000000,sz.000005,1.1700,1.1900,1.1600,1.1800,3321400,3914212.0000,3
2023-06-16,20230616133000000,sz.000005,1.2200,1.2300,1.2100,1.2100,3230600,3947751.0000,3
2023-06-19,20230619100000000,sz.000005,1.2100,1.2200,1.1900,1.1900,3651900,4396904.0000,3
2023-06-19,20230619133000000,sz.000005,1.1900,1.2000,1.1900,1.2000,850426,1019448.0000,3
2023-06-20,20230620100000000,sz.000005,1.2100,1.2300,1.2000,1.2100,2922287,3554472.0000,3
2023-06-20,20230620133000000,sz.000005,1.2000,1.2000,1.1700,1.1700,1234300,1459263.0000,3
2023-06-21,20230621100000000,sz.000005,1.1700,1.1900,1.1600,1.1800,2351300,2773787.0000,3
2023-06-21,20230621133000000,sz.000005,1.1700,1.1700,1.1600,1.1600,1316600,1528494.0000,3
2023-06-26,20230626100000000,sz.000005,1.1500,1.1900,1.1300,1.1600,3309700,3845755.0000,3
2023-06-26,20230626133000000,sz.000005,1.1600,1.1700,1.1600,1.1700,285100,332520.0000,3
2023-06-27,20230627100000000,sz.000005,1.1700,1.2000,1.1700,1.1900,1936700,2299638.0000,3
2023-06-27,20230627133000000,sz.000005,1.1900,1.2000,1.1800,1.2000,807558,961002.0000,3
2023-06-28,20230628100000000,sz.000005,1.1900,1.2100,1.1800,1.1900,2533600,3030212.0000,3
2023-06-28,20230628133000000,sz.000005,1.1900,1.2000,1.1900,1.2000,342900,408127.0000,3
2023-06-29,20230629100000000,sz.000005,1.2200,1.2400,1.2200,1.2300,3350721,4118406.0000,3
2023-06-29,20230629133000000,sz.000005,1.2400,1.2500,1.2300,1.2400,1086400,1343620.0000,3
2023-06-30,20230630100000000,sz.000005,1.2400,1.2800,1.2400,1.2600,3750800,4746540.0000,3
2023-06-30,20230630133000000,sz.000005,1.2600,1.2700,1.2600,1.2700,194000,245114.0000,3
2023-07-03,20230703100000000,sz.000005,1.2800,1.3300,1.2700,1.2900,5554400,7240939.0000,3
