date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000006,4.7500,4.8700,4.7000,4.7500,11008700,52920258.0000,3
2023-06-07,20230607133000000,sz.000006,4.7600,4.7900,4.7600,4.7700,1254000,5991406.0000,3
2023-06-08,20230608100000000,sz.000006,4.7500,4.8300,4.7200,4.7600,3472100,16520727.0000,3
2023-06-08,20230608133000000,sz.000006,4.8300,4.8500,4.8200,4.8500,1421100,6875622.0000,3
2023-06-09,20230609100000000,sz.000006,4.8200,4.8400,4.7600,4.7800,6061925,29029195.0000,3
2023-06-09,20230609133000000,sz.000006,4.8100,4.8600,4.8000,4.8400,1990044,9614224.0000,3
2023-06-12,20230612100000000,sz.000006,4.8000,4.8200,4.7100,4.7200,3522100,16698501.0000,3
2023-06-12,20230612133000000,sz.000006,4.7700,4.8400,4.7600,4.8000,1899821,9126712.0000,3
2023-06-13,20230613100000000,sz.000006,4.7900,4.8400,4.7600,4.8000,2900666,13977065.0000,3
2023-06-13,20230613133000000,sz.000006,4.7800,4.8400,4.7700,4.7800,2180020,10465474.0000,3
2023-06-14,20230614100000000,sz.000006,4.7700,4.8000,4.7400,4.7700,2195401,10461152.0000,3
2023-06-14,20230614133000000,sz.000006,4.7600,4.7700,4.7500,4.7500,796400,3790386.0000,3
2023-06-15,20230615100000000,sz.000006,4.7400,4.7800,4.7200,4.7300,2495500,11847201.0000,3
2023-06-15,20230615133000000,sz.000006,4.7300,4.7900,4.7200,4.7600,2157000,10267246.0000,3
2023-06-16,20230616100000000,sz.000006,4.7500,4.8100,4.7500,4.8000,2550600,12213326.0000,3
2023-06-16,20230616133000000,sz.000006,4.8100,4.8200,4.8000,4.8100,623100,2998325.0000,3
2023-06-19,20230619100000000,sz.000006,4.8000,4.8200,4.6800,4.6800,5764109,27269749.0000,3
2023-06-19,20230619133000000,sz.000006,4.6400,4.6700,4.6300,4.6500,1417129,6585160.0000,3
2023-06-20,20230620100000000,sz.000006,4.6100,4.6300,4.5600,4.5700,2407400,11047932.0000,3
2023-06-20,20230620133000000,sz.000006,4.5500,4.5600,4.5200,4.5300,1627025,7388194.0000,3
2023-06-21,20230621100000000,sz.000006,4.5000,4.5400,4.4600,4.5300,3035514,13670751.0000,3
2023-06-21,20230621133000000,sz.000006,4.4600,4.4600,4.4400,4.4500,1144300,5090765.0000,3
2023-06-26,20230626100000000,sz.000006,4.3700,4.3800,4.3200,4.3300,3271138,14213486.0000,3
2023-06-26,20230626133000000,sz.000006,4.3500,4.3500,4.3300,4.3300,667600,2898299.0000,3
2023-06-27,20230627100000000,sz.000006,4.3100,4.3700,4.3100,4.3600,1981200,8609652.0000,3
2023-06-27,20230627133000000,sz.000006,4.4400,4.4600,4.4300,4.4500,1565164,6952905.0000,3
2023-06-28,20230628100000000,sz.000006,4.3900,4.4000,4.3100,4.3200,3588600,15607481.0000,3
2023-06-28,20230628133000000,sz.000006,4.3300,4.3600,4.3100,4.3500,671937,2913189.0000,3
2023-06-29,20230629100000000,sz.000006,4.3400,4.3600,4.3200,4.3200,1577200,6829913.0000,3
2023-06-29,20230629133000000,sz.000006,4.3400,4.3500,4.3200,4.3400,959500,4157705.0000,3
2023-06-30,20230630100000000,sz.000006,4.3400,4.4400,4.3100,4.3900,3892100,17110119.0000,3
2023-06-30,20230630133000000,sz.000006,4.4000,4.4000,4.3900,4.3900,295500,1299183.0000,3
2023-07-03,20230703100000000,sz.000006,4.3900,4.4600,4.3800,4.4000,2750300,12148837.0000,3
2023-07-03,20230703133000000,sz.000006,4.4200,4.4400,4.4100,4.4400,1817700,8036424.9200,3
2023-07-04,20230704100000000,sz.000006,4.4100,4.4200,4.3800,4.3800,1989701,8747902.3900,3
2023-07-04,20230704133000000,sz.000006,4.3900,4.4000,4.3700,4.3800,860765,3768914.4000,3
2023-07-05,20230705100000000,sz.000006,4.3600,4.4000,4.3500,4.3800,1016058,4449895.6200,3
2023-07-05,20230705133000000,sz.000006,4.4000,4.4000,4.3800,4.3900,474296,2082239.4400,3
2023-07-06,20230706100000000,sz.000006,4.3600,4.3800,4.3400,4.3700,1162600,5062714.0000,3
2023-07-06,20230706133000000,sz.000006,4.3900,4.4000,4.3800,4.3900,648800,2845519.0000,3
2023-07-07,20230707100000000,sz.000006,4.4000,4.4600,4.3800,4.4400,3028600,13415470.0000,3
2023-07-07,20230707133000000,sz.000006,4.4100,4.4400,4.4000,4.4300,519200,2296204.0000,3
2023-07-10,20230710100000000,sz.000006,4.4300,4.4500,4.4100,4.4300,2058200,9105981.0000,3
2023-07-10,20230710133000000,sz.000006,4.4600,4.4600,4.4200,4.4200,530500,2354666.0000,3
2023-07-11,20230711100000000,sz.000006,4.4800,4.5000,4.4200,4.4300,2162200,9645773.0000,3
2023-07-11,20230711133000000,sz.000006,4.4100,4.4200,4.4000,4.4100,526000,2318264.0000,3
2023-07-12,20230712100000000,sz.000006,4.4200,4.4200,4.3700,4.3900,2164262,9492424.6400,3
2023-07-12,20230712133000000,sz.000006,4.3600,4.3700,4.3400,4.3400,895358,3897982.7200,3
2023-07-13,20230713100000000,sz.000006,4.3500,4.3900,4.3400,4.3700,2432700,10627139.3800,3
2023-07-13,20230713133000000,sz.000006,4.3700,4.3800,4.3600,4.3800,478300,2090007.0000,3
2023-07-14,20230714100000000,sz.000006,4.3600,4.3800,4.3600,4.3700,1450600,6337331.0000,3
2023-07-14,20230714133000000,sz.000006,4.4000,4.4300,4.3900,4.4100,1692900,7465214.0000,3
2023-07-17,20230717100000000,sz.000006,4.3700,4.3800,4.3400,4.3400,2482600,10804158.0000,3
2023-07-17,20230717133000000,sz.000006,4.3200,4.3300,4.3000,4.3300,717957,3096357.6700,3
2023-07-18,20230718100000000,sz.000006,4.3400,4.3700,4.3100,4.3300,1197500,5178619.0000,3
2023-07-18,20230718133000000,sz.000006,4.3800,4.4200,4.3700,4.3900,1362000,5994148.0000,3
2023-07-19,20230719100000000,sz.000006,4.4000,4.4500,4.3800,4.4500,2901000,12856126.0000,3
2023-07-19,20230719133000000,sz.000006,4.4300,4.4400,4.4100,4.4100,415400,1837419.0000,3
2023-07-20,20230720100000000,sz.000006,4.4500,4.5000,4.4300,4.4700,2762000,12347132.0000,3
2023-07-20,20230720133000000,sz.000006,4.5100,4.5400,4.4900,4.5200,1502901,6793327.5200,3
2023-07-21,20230721100000000,sz.000006,4.4800,4.5200,4.4500,4.5000,2323000,10437748.0000,3
2023-07-21,20230721133000000,sz.000006,4.5500,4.5900,4.5400,4.5600,3235645,14767435.2000,3
2023-07-24,20230724100000000,sz.000006,4.7100,4.8000,4.5300,4.5900,24443082,113647723.7000,3
2023-07-24,20230724133000000,sz.000006,4.6800,4.6800,4.6100,4.6100,1305100,6045068.0000,3
2023-07-25,20230725100000000,sz.000006,4.6100,4.8000,4.5900,4.7600,21026322,99670193.7200,3
2023-07-25,20230725133000000,sz.000006,4.8100,4.8400,4.8000,4.8400,4957500,23902387.0000,3
2023-07-26,20230726100000000,sz.000006,4.8200,4.9200,4.8000,4.9200,19549498,94936559.2200,3
2023-07-26,20230726133000000,sz.000006,5.0400,5.1500,5.0300,5.0700,16389958,83562533.8500,3
2023-07-27,20230727100000000,sz.000006,4.8400,5.0400,4.7600,5.0100,24935504,121645315.5200,3
2023-07-27,20230727133000000,sz.000006,5.0600,5.0800,4.9700,4.9800,6859832,34488152.6000,3
2023-07-28,20230728100000000,sz.000006,4.9400,5.0000,4.9200,4.9300,13638496,67590532.2800,3
2023-07-28,20230728133000000,sz.000006,5.0200,5.0500,4.9800,4.9800,7347200,36866629.0000,3
2023-07-31,20230731100000000,sz.000006,5.0900,5.1800,5.0700,5.1300,23640744,121461048.0000,3
2023-07-31,20230731133000000,sz.000006,5.1700,5.1900,5.1000,5.1200,4647376,23833914.1700,3
2023-08-01,20230801100000000,sz.000006,5.1000,5.1500,5.0200,5.1300,14324600,73097262.0000,3
2023-08-01,20230801133000000,sz.000006,5.1300,5.1400,5.0900,5.1000,3021605,15421331.4500,3
2023-08-02,20230802100000000,sz.000006,5.0900,5.2700,5.0700,5.2300,21168126,110142989.6400,3
2023-08-02,20230802133000000,sz.000006,5.1800,5.1800,5.1200,5.1400,2749800,14156316.0000,3
2023-08-03,20230803100000000,sz.000006,5.1100,5.2100,5.0600,5.0800,10303487,52625469.7000,3
2023-08-03,20230803133000000,sz.000006,5.1600,5.3200,5.1500,5.2400,14476982,76179061.3200,3
2023-08-04,20230804100000000,sz.000006,5.2900,5.3200,5.2000,5.2400,14929568,78207568.4400,3
2023-08-04,20230804133000000,sz.000006,5.2200,5.2400,5.1600,5.2200,3700328,19227655.7600,3
2023-08-07,20230807100000000,sz.000006,5.1100,5.1500,5.0600,5.1100,9121400,46459884.1400,3
2023-08-07,20230807133000000,sz.000006,5.0600,5.0900,5.0300,5.0500,3844900,19408438.0000,3
2023-08-08,20230808100000000,sz.000006,5.0500,5.1100,4.9900,5.0000,4936500,24898221.0000,3
2023-08-08,20230808133000000,sz.000006,5.0000,5.0100,4.9700,4.9900,1767700,8820579.0000,3
2023-08-09,20230809100000000,sz.000006,4.9500,5.0200,4.9400,4.9900,6396100,31938379.0000,3
2023-08-09,20230809133000000,sz.000006,4.9600,4.9900,4.9400,4.9400,1789700,8881384.0000,3
2023-08-10,20230810100000000,sz.000006,4.9600,5.1400,4.9600,5.1400,14171700,71888191.0000,3
2023-08-10,20230810133000000,sz.000006,5.3200,5.3300,5.2600,5.2800,8353300,44173024.0000,3
2023-08-11,20230811100000000,sz.000006,5.8300,5.8300,5.5300,5.7500,143364200,828944480.0000,3
2023-08-11,20230811133000000,sz.000006,5.8300,5.8300,5.8300,5.8300,3013700,17570176.0000,3
2023-08-14,20230814100000000,sz.000006,5.4000,5.4600,5.2500,5.2600,91260500,485885776.0000,3
2023-08-14,20230814133000000,sz.000006,5.2700,5.2800,5.2500,5.2500,11012500,57959355.0000,3
2023-08-15,20230815100000000,sz.000006,5.0600,5.2200,5.0600,5.2000,39066700,200015704.0000,3
2023-08-15,20230815133000000,sz.000006,5.1300,5.1500,5.0800,5.1000,10536700,53754240.0000,3
2023-08-16,20230816100000000,sz.000006,5.3000,5.4000,5.2700,5.3200,28917400,153810044.0000,3
2023-08-16,20230816133000000,sz.000006,5.8900,5.9400,5.8700,5.9300,33851700,200744192.0000,3
2023-08-17,20230817100000000,sz.000006,5.6400,5.7200,5.5200,5.6400,58664100,330133952.0000,3
2023-08-17,20230817133000000,sz.000006,5.7400,5.7800,5.6500,5.6800,7570700,43099643.0000,3
