date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000030,4.7700,4.7900,4.7500,4.7600,1162500,5545966.0000,3
2023-06-07,20230607133000000,sz.000030,4.7200,4.7300,4.7100,4.7200,443900,2096782.0000,3
2023-06-08,20230608100000000,sz.000030,4.7000,4.7400,4.6700,4.6800,1414967,6657601.0000,3
2023-06-08,20230608133000000,sz.000030,4.7000,4.7200,4.6700,4.7100,544300,2553573.0000,3
2023-06-09,20230609100000000,sz.000030,4.7400,4.8200,4.7000,4.8000,2114600,10119440.0000,3
2023-06-09,20230609133000000,sz.000030,4.7800,4.8000,4.7700,4.7900,412100,1973351.0000,3
2023-06-12,20230612100000000,sz.000030,4.8300,4.9200,4.8100,4.8800,2334663,11383337.0000,3
2023-06-12,20230612133000000,sz.000030,4.9900,5.0100,4.9700,5.0100,832920,4155001.0000,3
2023-06-13,20230613100000000,sz.000030,5.0500,5.1100,5.0400,5.0500,3110338,15781994.0000,3
2023-06-13,20230613133000000,sz.000030,5.1000,5.1000,5.0500,5.0900,1107740,5617333.0000,3
2023-06-14,20230614100000000,sz.000030,5.0700,5.1800,5.0600,5.0900,2264200,11575254.0000,3
2023-06-14,20230614133000000,sz.000030,5.1300,5.1300,5.0800,5.0800,534240,2724438.0000,3
2023-06-15,20230615100000000,sz.000030,5.1300,5.1700,5.0600,5.1400,1959700,10036717.0000,3
2023-06-15,20230615133000000,sz.000030,5.1200,5.1300,5.0800,5.1100,683900,3490632.0000,3
2023-06-16,20230616100000000,sz.000030,5.1300,5.1600,5.1100,5.1200,1759400,9035804.0000,3
2023-06-16,20230616133000000,sz.000030,5.1500,5.1900,5.1400,5.1800,914120,4730052.0000,3
2023-06-19,20230619100000000,sz.000030,5.1800,5.2000,5.1100,5.1500,2957173,15274046.0000,3
2023-06-19,20230619133000000,sz.000030,5.1500,5.1800,5.1400,5.1800,803500,4145079.0000,3
2023-06-20,20230620100000000,sz.000030,5.1500,5.1700,5.0800,5.1500,1508472,7725647.0000,3
2023-06-20,20230620133000000,sz.000030,5.1200,5.1400,5.1100,5.1300,779100,3991897.0000,3
2023-06-21,20230621100000000,sz.000030,5.1300,5.1600,5.0700,5.1200,1200488,6130105.0000,3
2023-06-21,20230621133000000,sz.000030,5.1400,5.1500,5.1000,5.1100,521840,2672538.0000,3
2023-06-26,20230626100000000,sz.000030,5.1500,5.2000,5.0700,5.1100,3059400,15766922.0000,3
2023-06-26,20230626133000000,sz.000030,5.1600,5.1600,5.1100,5.1600,1843409,9466048.0000,3
2023-06-27,20230627100000000,sz.000030,4.8200,4.8900,4.7500,4.8700,4591300,22202905.0000,3
2023-06-27,20230627133000000,sz.000030,4.9300,4.9400,4.9100,4.9100,614300,3024547.0000,3
2023-06-28,20230628100000000,sz.000030,4.9500,5.0600,4.9200,4.9400,3189080,15883177.0000,3
2023-06-28,20230628133000000,sz.000030,4.9800,5.0200,4.9500,5.0200,1062600,5302766.0000,3
2023-06-29,20230629100000000,sz.000030,5.0400,5.0800,4.9900,5.0100,1621900,8153034.0000,3
