date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000017,4.2900,4.3800,4.2600,4.3500,1393936,6053605.0000,3
2023-06-07,20230607133000000,sz.000017,4.3300,4.3300,4.3000,4.3200,357900,1545362.0000,3
2023-06-08,20230608100000000,sz.000017,4.3500,4.3600,4.3100,4.3300,908900,3933746.0000,3
2023-06-08,20230608133000000,sz.000017,4.3400,4.3400,4.3100,4.3200,165400,715503.0000,3
2023-06-09,20230609100000000,sz.000017,4.2800,4.3700,4.2800,4.3100,699400,3035785.0000,3
2023-06-09,20230609133000000,sz.000017,4.3000,4.3100,4.2900,4.2900,176000,756188.0000,3
2023-06-12,20230612100000000,sz.000017,4.3000,4.3400,4.2500,4.2600,886979,3810535.0000,3
2023-06-12,20230612133000000,sz.000017,4.3300,4.3500,4.3200,4.3400,601600,2607953.0000,3
2023-06-13,20230613100000000,sz.000017,4.3800,4.4600,4.3600,4.4400,1642700,7257913.0000,3
2023-06-13,20230613133000000,sz.000017,4.4300,4.4300,4.4100,4.4100,311600,1377714.0000,3
2023-06-14,20230614100000000,sz.000017,4.4300,4.4400,4.3900,4.4000,770400,3394776.0000,3
2023-06-14,20230614133000000,sz.000017,4.4400,4.4500,4.4300,4.4400,525700,2335055.0000,3
2023-06-15,20230615100000000,sz.000017,4.4100,4.4400,4.3800,4.3900,798500,3511012.0000,3
2023-06-15,20230615133000000,sz.000017,4.3600,4.3800,4.3600,4.3700,209000,913644.0000,3
2023-06-16,20230616100000000,sz.000017,4.3700,4.4000,4.3500,4.3900,458700,2008246.0000,3
2023-06-16,20230616133000000,sz.000017,4.4200,4.4300,4.4100,4.4200,579700,2563063.0000,3
2023-06-19,20230619100000000,sz.000017,4.4000,4.4300,4.3700,4.3800,502000,2202428.0000,3
2023-06-19,20230619133000000,sz.000017,4.3500,4.3600,4.3500,4.3600,267100,1162298.0000,3
2023-06-20,20230620100000000,sz.000017,4.3700,4.3800,4.3000,4.3000,863800,3731904.0000,3
2023-06-20,20230620133000000,sz.000017,4.3100,4.3200,4.3000,4.3000,277500,1197290.0000,3
