date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000012,6.1000,6.1600,6.0900,6.1400,1497766,9183980.0000,3
2023-06-07,20230607133000000,sz.000012,6.0900,6.0900,6.0700,6.0700,1543987,9379298.0000,3
2023-06-08,20230608100000000,sz.000012,6.0400,6.0500,5.9200,5.9300,6410937,38269740.0000,3
2023-06-08,20230608133000000,sz.000012,5.9100,5.9200,5.8900,5.9200,1978810,11678830.0000,3
2023-06-09,20230609100000000,sz.000012,5.9100,5.9100,5.8400,5.8800,6305045,37034059.0000,3
2023-06-09,20230609133000000,sz.000012,6.0000,6.0200,5.9500,5.9700,3983400,23808867.0000,3
2023-06-12,20230612100000000,sz.000012,6.0000,6.0100,5.9200,5.9300,4934100,29387134.0000,3
2023-06-12,20230612133000000,sz.000012,6.0100,6.0600,6.0000,6.0500,2711501,16381379.0000,3
2023-06-13,20230613100000000,sz.000012,6.0600,6.1000,6.0300,6.0700,2235700,13582274.0000,3
2023-06-13,20230613133000000,sz.000012,6.0500,6.0600,6.0300,6.0400,637680,3855961.0000,3
2023-06-14,20230614100000000,sz.000012,6.0600,6.0800,6.0300,6.0600,1256800,7601958.0000,3
2023-06-14,20230614133000000,sz.000012,6.0800,6.0900,6.0600,6.0600,1187300,7211693.0000,3
2023-06-15,20230615100000000,sz.000012,6.0500,6.0700,6.0300,6.0600,1174617,7110357.0000,3
2023-06-15,20230615133000000,sz.000012,6.1000,6.1300,6.0900,6.1200,1290945,7887791.0000,3
2023-06-16,20230616100000000,sz.000012,6.1500,6.1700,6.1300,6.1300,2605280,16027186.0000,3
2023-06-16,20230616133000000,sz.000012,6.1200,6.1400,6.1100,6.1300,638600,3910013.0000,3
2023-06-19,20230619100000000,sz.000012,6.1200,6.1200,6.0600,6.0700,2862700,17400545.0000,3
2023-06-19,20230619133000000,sz.000012,6.0300,6.0300,6.0100,6.0100,877869,5283918.0000,3
2023-06-20,20230620100000000,sz.000012,6.0300,6.0300,5.9600,5.9800,2378600,14235722.0000,3
2023-06-20,20230620133000000,sz.000012,6.0000,6.0000,5.9700,5.9800,502200,3005286.0000,3
2023-06-21,20230621100000000,sz.000012,5.9500,5.9800,5.9200,5.9400,1653373,9835829.0000,3
2023-06-21,20230621133000000,sz.000012,5.9400,5.9400,5.9200,5.9300,643109,3816201.0000,3
2023-06-26,20230626100000000,sz.000012,5.9100,5.9100,5.8300,5.8400,3640300,21360793.0000,3
2023-06-26,20230626133000000,sz.000012,5.8900,5.8900,5.8500,5.8600,512800,3006172.0000,3
2023-06-27,20230627100000000,sz.000012,5.8400,5.8900,5.8300,5.8800,1817942,10664976.0000,3
2023-06-27,20230627133000000,sz.000012,5.8700,5.9000,5.8600,5.8800,1676069,9862330.0000,3
2023-06-28,20230628100000000,sz.000012,5.8900,5.9000,5.8300,5.8500,2604600,15248110.0000,3
