date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000011,9.5800,9.8800,9.5700,9.6900,2316400,22615555.0000,3
2023-06-07,20230607133000000,sz.000011,9.6700,9.7100,9.6500,9.6900,208900,2023537.0000,3
2023-06-08,20230608100000000,sz.000011,9.6600,9.8000,9.6300,9.7500,875200,8497940.0000,3
2023-06-08,20230608133000000,sz.000011,9.9400,9.9600,9.8900,9.9100,342391,3397151.0000,3
2023-06-09,20230609100000000,sz.000011,9.8000,9.8300,9.6600,9.7200,2340100,22801881.0000,3
2023-06-09,20230609133000000,sz.000011,9.6700,9.7200,9.6500,9.6700,301100,2915281.0000,3
2023-06-12,20230612100000000,sz.000011,9.6000,9.6400,9.4000,9.4500,1218400,11564204.0000,3
2023-06-12,20230612133000000,sz.000011,9.5900,9.7000,9.5900,9.6700,257000,2483037.0000,3
2023-06-13,20230613100000000,sz.000011,9.6300,9.7700,9.6100,9.6800,859300,8355923.0000,3
2023-06-13,20230613133000000,sz.000011,9.6300,9.7400,9.6000,9.6100,435100,4204780.0000,3
2023-06-14,20230614100000000,sz.000011,9.5900,9.6800,9.5500,9.6400,623501,5992932.0000,3
2023-06-14,20230614133000000,sz.000011,9.6200,9.6200,9.5700,9.5700,160600,1540831.0000,3
2023-06-15,20230615100000000,sz.000011,9.6000,9.6200,9.5500,9.5600,469000,4493018.0000,3
2023-06-15,20230615133000000,sz.000011,9.5800,9.6100,9.5500,9.6000,251100,2403958.0000,3
2023-06-16,20230616100000000,sz.000011,9.6100,9.7000,9.5800,9.6600,614000,5922174.0000,3
2023-06-16,20230616133000000,sz.000011,9.6700,9.7000,9.6700,9.7000,168900,1636985.0000,3
2023-06-19,20230619100000000,sz.000011,9.6400,9.7300,9.5000,9.5200,1524900,14581808.0000,3
2023-06-19,20230619133000000,sz.000011,9.4600,9.5000,9.4500,9.4700,340800,3226165.0000,3
2023-06-20,20230620100000000,sz.000011,9.4800,9.5000,9.3600,9.3900,834400,7851456.0000,3
2023-06-20,20230620133000000,sz.000011,9.3700,9.3700,9.3400,9.3500,277025,2589636.0000,3
2023-06-21,20230621100000000,sz.000011,9.3200,9.3900,9.2800,9.3400,703500,6559128.0000,3
2023-06-21,20230621133000000,sz.000011,9.3000,9.3000,9.2400,9.2500,580141,5376056.0000,3
2023-06-26,20230626100000000,sz.000011,9.2000,9.2200,9.1300,9.1700,824230,7564801.0000,3
2023-06-26,20230626133000000,sz.000011,9.1800,9.1800,9.1600,9.1600,62500,573104.0000,3
2023-06-27,20230627100000000,sz.000011,9.1400,9.2500,9.1400,9.2400,378449,3486465.0000,3
2023-06-27,20230627133000000,sz.000011,9.3300,9.3500,9.2900,9.3400,185300,1727166.0000,3
2023-06-28,20230628100000000,sz.000011,9.3300,9.3800,9.2600,9.2600,492600,4590804.0000,3
2023-06-28,20230628133000000,sz.000011,9.2500,9.2900,9.2400,9.2800,47200,437331.0000,3
2023-06-29,20230629100000000,sz.000011,9.2500,9.3100,9.2200,9.2200,362300,3347311.0000,3
2023-06-29,20230629133000000,sz.000011,9.2000,9.2100,9.1800,9.2100,242100,2226505.0000,3
