date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000031,3.7500,3.8500,3.7400,3.7900,6724100,25619602.0000,3
2023-06-07,20230607133000000,sz.000031,3.8000,3.8300,3.8000,3.8300,1887801,7214783.0000,3
2023-06-08,20230608100000000,sz.000031,3.8300,3.8600,3.8000,3.8500,4608500,17643690.0000,3
2023-06-08,20230608133000000,sz.000031,3.8900,3.9000,3.8700,3.9000,1172400,4553862.0000,3
2023-06-09,20230609100000000,sz.000031,3.8800,3.9000,3.8500,3.8800,4926311,19073911.0000,3
2023-06-09,20230609133000000,sz.000031,3.8900,3.9200,3.8800,3.8800,2068584,8069850.0000,3
2023-06-12,20230612100000000,sz.000031,3.8900,3.8900,3.8100,3.8700,5973736,22985516.0000,3
2023-06-12,20230612133000000,sz.000031,3.8900,3.9300,3.8800,3.9100,2403487,9392283.0000,3
2023-06-13,20230613100000000,sz.000031,3.8700,3.9300,3.8700,3.8900,3176525,12367417.0000,3
2023-06-13,20230613133000000,sz.000031,3.8700,3.9100,3.8700,3.8700,1363202,5304481.0000,3
2023-06-14,20230614100000000,sz.000031,3.9100,3.9200,3.8700,3.9000,1842000,7168154.0000,3
2023-06-14,20230614133000000,sz.000031,3.9000,3.9000,3.8800,3.8800,1170900,4556400.0000,3
2023-06-15,20230615100000000,sz.000031,3.8600,3.8800,3.8300,3.8500,2678866,10324555.0000,3
2023-06-15,20230615133000000,sz.000031,3.8800,3.9000,3.8700,3.9000,1428517,5548960.0000,3
2023-06-16,20230616100000000,sz.000031,3.9100,3.9300,3.9000,3.9300,2408500,9439552.0000,3
2023-06-16,20230616133000000,sz.000031,3.9000,3.9100,3.9000,3.9000,1042000,4065925.0000,3
2023-06-19,20230619100000000,sz.000031,3.8900,3.9000,3.8300,3.8400,4168201,16047110.0000,3
2023-06-19,20230619133000000,sz.000031,3.8100,3.8200,3.8000,3.8100,832600,3171322.0000,3
2023-06-20,20230620100000000,sz.000031,3.8000,3.8000,3.7400,3.7500,3244400,12192928.0000,3
2023-06-20,20230620133000000,sz.000031,3.7300,3.7300,3.7100,3.7100,1618700,6018934.0000,3
2023-06-21,20230621100000000,sz.000031,3.7000,3.7200,3.6500,3.7000,2914300,10761726.0000,3
2023-06-21,20230621133000000,sz.000031,3.6800,3.6800,3.6400,3.6600,1615900,5912475.0000,3
2023-06-26,20230626100000000,sz.000031,3.6100,3.6500,3.5800,3.6200,4436600,16039277.0000,3
2023-06-26,20230626133000000,sz.000031,3.6100,3.6200,3.5900,3.5900,992600,3579703.0000,3
2023-06-27,20230627100000000,sz.000031,3.5900,3.6200,3.5600,3.6000,2931100,10521185.0000,3
2023-06-27,20230627133000000,sz.000031,3.6600,3.6700,3.6400,3.6600,1413400,5168060.0000,3
2023-06-28,20230628100000000,sz.000031,3.6800,3.6900,3.6300,3.6500,3359900,12272888.0000,3
2023-06-28,20230628133000000,sz.000031,3.6500,3.6800,3.6400,3.6700,1115698,4088910.0000,3
2023-06-29,20230629100000000,sz.000031,3.7000,3.7000,3.6300,3.6400,2833271,10344031.0000,3
2023-06-29,20230629133000000,sz.000031,3.6200,3.6300,3.6100,3.6200,859101,3110945.0000,3
2023-06-30,20230630100000000,sz.000031,3.6300,3.7200,3.6100,3.6800,5945501,21806782.6400,3
2023-06-30,20230630133000000,sz.000031,3.7000,3.7000,3.6700,3.6700,578250,2128886.0000,3
2023-07-03,20230703100000000,sz.000031,3.6700,3.7200,3.6700,3.6800,4009600,14803178.0000,3
2023-07-03,20230703133000000,sz.000031,3.7200,3.7200,3.7000,3.7100,1684900,6253104.0000,3
2023-07-04,20230704100000000,sz.000031,3.7100,3.7200,3.6800,3.7000,2102600,7779343.0000,3
2023-07-04,20230704133000000,sz.000031,3.7000,3.7100,3.6800,3.6800,1289200,4761732.0000,3
2023-07-05,20230705100000000,sz.000031,3.6900,3.7100,3.6600,3.6900,1745700,6445733.0000,3
2023-07-05,20230705133000000,sz.000031,3.7100,3.7200,3.6900,3.7100,822399,3042222.2900,3
2023-07-06,20230706100000000,sz.000031,3.6900,3.7200,3.6700,3.7200,2460305,9098415.5500,3
2023-07-06,20230706133000000,sz.000031,3.7100,3.7300,3.7000,3.7200,1342360,4986166.6000,3
2023-07-07,20230707100000000,sz.000031,3.7300,3.7800,3.7100,3.7600,3395500,12750296.0000,3
2023-07-07,20230707133000000,sz.000031,3.7300,3.7700,3.7300,3.7600,980900,3680650.0000,3
2023-07-10,20230710100000000,sz.000031,3.7500,3.7700,3.7100,3.7400,2406600,8994576.0000,3
2023-07-10,20230710133000000,sz.000031,3.7700,3.7800,3.7600,3.7700,624000,2350828.0000,3
