date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000019,7.4500,7.4600,7.4000,7.4400,271150,2013757.0000,3
2023-06-07,20230607133000000,sz.000019,7.4000,7.4300,7.4000,7.4300,220800,1637415.0000,3
2023-06-08,20230608100000000,sz.000019,7.4000,7.5000,7.4000,7.4900,559220,4166564.0000,3
2023-06-08,20230608133000000,sz.000019,7.4900,7.5300,7.4800,7.5200,444400,3333388.0000,3
2023-06-09,20230609100000000,sz.000019,7.5500,7.5500,7.5100,7.5400,682600,5139831.0000,3
2023-06-09,20230609133000000,sz.000019,7.5000,7.5200,7.4900,7.5000,153300,1150338.0000,3
2023-06-12,20230612100000000,sz.000019,7.5100,7.5500,7.5100,7.5400,664752,5006544.0000,3
2023-06-12,20230612133000000,sz.000019,7.5400,7.5700,7.5400,7.5700,341286,2577539.0000,3
2023-06-13,20230613100000000,sz.000019,7.5700,7.5900,7.5300,7.5400,630450,4765840.0000,3
2023-06-13,20230613133000000,sz.000019,7.5600,7.6100,7.5600,7.6000,483380,3669478.0000,3
2023-06-14,20230614100000000,sz.000019,7.6100,7.6700,7.5700,7.6600,1154919,8806871.0000,3
2023-06-14,20230614133000000,sz.000019,7.7000,7.7100,7.6800,7.6800,408130,3141620.0000,3
2023-06-15,20230615100000000,sz.000019,7.6900,7.7200,7.6400,7.6500,849400,6509597.0000,3
2023-06-15,20230615133000000,sz.000019,7.6200,7.9700,7.6200,7.9300,4829593,37841479.0000,3
2023-06-16,20230616100000000,sz.000019,7.8100,7.8700,7.7600,7.7900,1929400,15046838.0000,3
2023-06-16,20230616133000000,sz.000019,7.7900,7.8100,7.7700,7.7800,491500,3825036.0000,3
2023-06-19,20230619100000000,sz.000019,7.7700,7.7700,7.7300,7.7500,698700,5416252.0000,3
2023-06-19,20230619133000000,sz.000019,7.6900,7.7000,7.6700,7.6800,359400,2761866.0000,3
2023-06-20,20230620100000000,sz.000019,7.6600,7.7000,7.6300,7.6300,898700,6882408.0000,3
2023-06-20,20230620133000000,sz.000019,7.6400,7.6800,7.6400,7.6600,316410,2425390.0000,3
2023-06-21,20230621100000000,sz.000019,7.6300,7.6600,7.5800,7.6000,494200,3761669.0000,3
2023-06-21,20230621133000000,sz.000019,7.6600,7.6800,7.6100,7.6700,417330,3192803.0000,3
2023-06-26,20230626100000000,sz.000019,7.4900,7.4900,7.3300,7.3500,2107900,15636419.0000,3
2023-06-26,20230626133000000,sz.000019,7.3300,7.3400,7.2900,7.3000,333400,2438540.0000,3
2023-06-27,20230627100000000,sz.000019,7.2900,7.3500,7.2700,7.3500,652700,4775996.0000,3
2023-06-27,20230627133000000,sz.000019,7.3500,7.3800,7.3400,7.3400,466630,3434417.0000,3
2023-06-28,20230628100000000,sz.000019,7.3700,7.3800,7.2700,7.3100,844670,6180012.0000,3
2023-06-28,20230628133000000,sz.000019,7.3000,7.3300,7.2800,7.3300,139000,1016278.0000,3
2023-06-29,20230629100000000,sz.000019,7.3300,7.3600,7.3000,7.3600,412500,3023857.0000,3
2023-06-29,20230629133000000,sz.000019,7.3100,7.3400,7.3100,7.3400,189659,1389036.0000,3
