date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000027,6.5600,6.6200,6.5600,6.6100,2959360,19492750.0000,3
2023-06-07,20230607133000000,sz.000027,6.6600,6.7100,6.6600,6.6900,2444320,16357507.0000,3
2023-06-08,20230608100000000,sz.000027,6.6800,6.6900,6.5700,6.5800,3996400,26449065.0000,3
2023-06-08,20230608133000000,sz.000027,6.6000,6.6600,6.5800,6.6600,1309385,8663853.0000,3
2023-06-09,20230609100000000,sz.000027,6.6500,6.7200,6.6200,6.7000,3638100,24264064.0000,3
2023-06-09,20230609133000000,sz.000027,6.7000,6.7100,6.6600,6.6900,2516200,16818492.0000,3
2023-06-12,20230612100000000,sz.000027,6.6600,6.7100,6.5700,6.6100,5726820,37964324.0000,3
2023-06-12,20230612133000000,sz.000027,6.5700,6.5800,6.5400,6.5500,3130400,20513236.0000,3
2023-06-13,20230613100000000,sz.000027,6.5700,6.6600,6.5500,6.5800,3495775,23073493.0000,3
2023-06-13,20230613133000000,sz.000027,6.5600,6.5700,6.5300,6.5400,1229200,8053393.0000,3
2023-06-14,20230614100000000,sz.000027,6.5600,6.5700,6.4700,6.5000,5155100,33554975.0000,3
2023-06-14,20230614133000000,sz.000027,6.4800,6.5000,6.4400,6.4400,2552400,16498445.0000,3
2023-06-15,20230615100000000,sz.000027,6.3200,6.3600,6.3000,6.3100,3656660,23161289.0000,3
2023-06-15,20230615133000000,sz.000027,6.3200,6.3400,6.3100,6.3300,997936,6314495.0000,3
2023-06-16,20230616100000000,sz.000027,6.3700,6.4000,6.3500,6.3800,2349300,14983257.0000,3
2023-06-16,20230616133000000,sz.000027,6.3900,6.3900,6.3400,6.3700,2712800,17268947.0000,3
2023-06-19,20230619100000000,sz.000027,6.3500,6.3700,6.2800,6.3700,3035860,19192046.0000,3
2023-06-19,20230619133000000,sz.000027,6.3500,6.4100,6.3300,6.4000,2411000,15390448.0000,3
2023-06-20,20230620100000000,sz.000027,6.4200,6.4200,6.3400,6.3600,2855280,18182084.0000,3
2023-06-20,20230620133000000,sz.000027,6.3900,6.4000,6.3800,6.3800,983800,6285496.0000,3
2023-06-21,20230621100000000,sz.000027,6.3500,6.4800,6.3300,6.4700,5586338,35918907.0000,3
2023-06-21,20230621133000000,sz.000027,6.4800,6.5000,6.4400,6.4400,2252500,14569476.0000,3
2023-06-26,20230626100000000,sz.000027,6.4500,6.6000,6.4300,6.5500,10797348,70555467.0000,3
2023-06-26,20230626133000000,sz.000027,6.6300,6.6500,6.6100,6.6300,1837340,12185135.0000,3
2023-06-27,20230627100000000,sz.000027,6.7000,6.7500,6.4800,6.5300,15246879,99737029.0000,3
2023-06-27,20230627133000000,sz.000027,6.5700,6.6100,6.5700,6.5900,2820136,18574355.0000,3
2023-06-28,20230628100000000,sz.000027,6.5400,6.7700,6.5200,6.7200,16386866,109475703.0000,3
